Rider,Team
TRATNIK Jan,Red Bull - BORA - hansgrohe (WT)
ADRIÀ Roger,Red Bull - BORA - hansgrohe (WT)
KOCH Jonas,Red Bull - BORA - hansgrohe (WT)
LAZKANO Oier,Red Bull - BORA - hansgrohe (WT)
MEEUS Jordi,Red Bull - BORA - hansgrohe (WT)
VAN DIJKE Mick,Red Bull - BORA - hansgrohe (WT)
VAN DIJKE Tim,Red Bull - BORA - hansgrohe (WT)
VAN BAARLE Dylan,Team Visma | Lease a Bike (WT)
VAN AERT Wout,Team Visma | Lease a Bike (WT)
AFFINI Edoardo,Team Visma | Lease a Bike (WT)
BENOOT Tiesj,Team Visma | Lease a Bike (WT)
HAGENES Per Strand,Team Visma | Lease a Bike (WT)
JORGENSON Matteo,Team Visma | Lease a Bike (WT)
LAPORTE Christophe,Team Visma | Lease a Bike (WT)
PHILIPSEN Jasper,Alpecin - Deceuninck (WT)
DILLIER Silvan,Alpecin - Deceuninck (WT)
GHYS Robbe,Alpecin - Deceuninck (WT)
MEURISSE Xandro,Alpecin - Deceuninck (WT)
GROVES Kaden,Alpecin - Deceuninck (WT)
RIESEBEEK Oscar,Alpecin - Deceuninck (WT)
VAN DEN BOSSCHE Fabio,Alpecin - Deceuninck (WT)
VERMEERSCH Gianni,Alpecin - Deceuninck (WT)
GIRMAY Biniam,Intermarché - Wanty (WT)
BRAET Vito,Intermarché - Wanty (WT)
PAGE Hugo,Intermarché - Wanty (WT)
PETIT Adrien,Intermarché - Wanty (WT)
REX Laurenz,Intermarché - Wanty (WT)
RUTSCH Jonas,Intermarché - Wanty (WT)
VAN SINTMAARTENSDIJK Roel,Intermarché - Wanty (WT)
CATTANEO Mattia,Soudal Quick-Step (WT)
EENKHOORN Pascal,Soudal Quick-Step (WT)
GELDERS Gil,Soudal Quick-Step (WT)
LAMPAERT Yves,Soudal Quick-Step (WT)
MAGNIER Paul,Soudal Quick-Step (WT)
PEDERSEN Casper,Soudal Quick-Step (WT)
VAN GESTEL Dries,Soudal Quick-Step (WT)
BIERMANS Jenthe,Arkéa - B&B Hotels (WT)
CAPIOT Amaury,Arkéa - B&B Hotels (WT)
GRONDIN Donavan,Arkéa - B&B Hotels (WT)
LOZOUET Léandre,Arkéa - B&B Hotels (WT)
SCOTSON Miles,Arkéa - B&B Hotels (WT)
SÉNÉCHAL Florian,Arkéa - B&B Hotels (WT)
THIERRY Pierre,Arkéa - B&B Hotels (WT)
ERMAKOV Roman,Bahrain - Victorious (WT)
GOVEKAR Matevž,Bahrain - Victorious (WT)
GRADEK Kamil,Bahrain - Victorious (WT)
MOHORIČ Matej,Bahrain - Victorious (WT)
PASQUALON Andrea,Bahrain - Victorious (WT)
STANNARD Robert,Bahrain - Victorious (WT)
WRIGHT Fred,Bahrain - Victorious (WT)
ERŽEN Žak,Bahrain - Victorious (WT)
ALLEGAERT Piet,Cofidis (WT)
COQUARD Bryan,Cofidis (WT)
DE GENDT Aimé,Cofidis (WT)
RENARD Alexis,Cofidis (WT)
ROBEET Ludovic,Cofidis (WT)
TEUNS Dylan,Cofidis (WT)
TOUZÉ Damien,Cofidis (WT)
BISSEGGER Stefan,Decathlon AG2R La Mondiale Team (WT)
CHAMBERLAIN Oscar,Decathlon AG2R La Mondiale Team (WT)
DE PESTEL Sander,Decathlon AG2R La Mondiale Team (WT)
DEWULF Stan,Decathlon AG2R La Mondiale Team (WT)
GAUTHERAT Pierre,Decathlon AG2R La Mondiale Team (WT)
NAESEN Oliver,Decathlon AG2R La Mondiale Team (WT)
POLLEFLIET Gianluca,Decathlon AG2R La Mondiale Team (WT)
ASGREEN Kasper,EF Education - EasyPost (WT)
ALBANESE Vincenzo,EF Education - EasyPost (WT)
DOULL Owain,EF Education - EasyPost (WT)
HONORÉ Mikkel Frølich,EF Education - EasyPost (WT)
